"","city","house","agri","industry","Total"
"1","台中市",489674243.445768,14282782.4724794,1585205803.67469,2540697160.21422
"2","台北市",442033597.19159,615590.31351324,56151324.2806552,1303590859.78595
"3","台東縣",33204443.9298649,1834255.92101903,10444796.5881098,77232171.7366131
"4","台南市",315759330.777864,30744554.4555288,1561224633.48467,2182345225.44925
"5","合計",3929778899.33531,246817491.692274,9882657591.15088,17896564888.1354
"6","宜蘭縣",75102342.6905201,5625086.43534104,127624656.529223,276498574.637345
"7","花蓮縣",53712944.4505542,1764888.67882281,82479883.4802024,199338209.913178
"8","金門縣",10293544.4166085,243624.072582999,3319481.24746415,24690570.045779
"9","南投縣",72761002.18852,8692017.79829846,98779234.2451663,235475313.75744
"10","屏東縣",132725630.846393,59316538.7309288,94831958.9941947,382509601.988366
"11","苗栗縣",85049489.9677401,2541484.00634364,426101580.206132,573565016.052602
"12","桃園市",382040888.483452,3728260.08496917,1608627779.59752,2364497309.63068
"13","高雄市",459092967.247507,20131649.7853216,1527025100.7808,2462029637.33513
"14","基隆市",58909970.4277772,12124.7407108335,17538271.7444922,121247407.108335
"15","連江縣",2267478.72821728,6039.39532940254,613297.378282406,5795881.17974101
"16","雲林縣",111690964.192194,32422135.2478333,254200938.588163,469326709.114933
"17","新北市",691074744.146651,2463707.27378759,514481799.200815,1723371129.60585
"18","新竹市",82263555.8717849,839414.373276512,657100720.665105,842502729.933963
"19","新竹縣",98683062.3109599,1559498.54665039,639206823.371687,821337014.86101
"20","嘉義市",43757019.7489417,633337.869724636,7042199.61586351,96826767.1863912
"21","嘉義縣",74830181.0248666,21432106.0654246,90040779.5591694,232821895.377715
"22","彰化縣",199899575.758318,37692560.9310051,516745132.418653,925357510.672475
"23","澎湖縣",15051530.7244448,351396.67600652,3970038.81263121,35753448.5739388
