"","date","TotalUsemean","houseUsemean","agriUsemean","industryUsemean"
"1","01",1406879031.59403,283163775.951904,19186408.6950823,806925040.581161
"2","02",1288940504.31167,285176573.886987,18915872.3076291,723388567.461086
"3","03",1462463219.81304,299710007.83662,19657706.748324,850623548.857758
"4","04",1440939031.46965,289378553.636665,20462284.2087411,833649442.132731
"5","05",1558386817.64712,304636769.728567,22311746.5049444,888010309.755908
"6","06",1590347417.70088,343544074.697365,23719172.7413485,870374250.0021
"7","07",1735079226.54097,412660385.624409,25202025.3352142,912916808.301499
"8","08",1768596645.38211,443610467.912311,25370187.1572967,917065488.878371
"9","09",1766516905.24487,465523263.136152,25389534.3485917,881227075.445468
"10","10",1713183654.34319,424027322.486248,24818733.6281547,896697561.180221
"11","11",1600459132.77292,371927531.689724,22767163.9218668,861887438.3536
"12","12",1495186099.50596,299295710.201021,21122454.3415839,863860074.988453
